Date,JPY,AUD
27790,-347.318,40
27819,11.793,43
27850,205.956,79
27880,63.584,174
27911,7.278,-70
27941,85.03,107
27972,84.191,-13
28003,-22.141,-74
28033,145.702,39
28064,122.541,5
28094,-46.552,-82
28125,395.387,-276
28156,-267.744,188
28184,173.439,-140
28215,214.909,58
28245,304.037,-44
28276,-22.212,71
28306,226.786,-109
28337,386.544,-109
28368,116.222,-32
28398,283.183,-31
28429,316.648,-79
28459,254.132,28
28490,530.347,-1
28521,-79.688,-152
28549,395.463,-93
28580,570.42,-142
28610,355.995,-122
28641,132.898,-161
28671,524.687,-98
28702,422.136,-131
28733,236.403,-204
28763,398.39,-195
28794,279.039,-222
28824,204.811,-160
28855,387.655,-197
28886,-283.8,-10
28914,72.295,-53
28945,195.693,-74
28975,-79.789,-36
29006,-176.391,14
29036,52.573,-81
29067,-50.994,59
29098,-361.329,-53
29128,-164.778,164
29159,-316.095,207
29189,-526.659,141
29220,-74.538,33
29251,-824.837,-92
29280,-336.416,138
29311,-268.594,57
29341,-508.328,149
29372,-453.591,-185
29402,-229.917,138
29433,-213.451,-148
29464,-182.095,-266
29494,191.413,-248
29525,-65.588,-296
29555,-49.867,-75
29586,328.418,-273
29617,-511.928,84
29645,61.028,-296
29676,215.627,-463
29706,94.265,-278
29737,1.128,-136
29767,327.942,-372
29798,342.863,-574
29829,173.952,-304
29859,531.826,-277
29890,485.832,-743
29920,-38.446,-526
29951,320.748,-465
29982,-408.014,-568
30010,81.677,-571
30041,203.179,-631
30071,121.37,-630
30102,107.112,-287
30132,408.482,-473
30163,326.073,-401
30194,-4.731,-516
30224,412.326,-217
30255,258.66,-426
30285,-116.034,-292
30316,386.097,-250
30347,-409.795,-347
30375,333.697,-332
30406,482.743,-367
30436,484.072,-237
30467,422.625,-160
30497,465.865,-345
30528,684.336,-327
30559,407.383,-307
30589,584.765,-146
30620,480.409,-217
30650,279.775,-95
30681,678.609,-76
30712,-196.593,-295
30741,509.743,-352
30772,726.469,-453
30802,699.54,-184
30833,425.474,-485
30863,929.484,-377
30894,760.208,-523
30925,270.297,-348
30955,1092.873,-540
30986,886.79,-431
31016,754.616,-446
31047,1145.267,-505
31078,124.267,-567
31106,604.224,-390
31137,830.066,10
31167,827.22,-405
31198,849.23,-390
31228,1255.527,-530
31259,1126.156,-538
31290,830.795,-627
31320,1099.808,-780
31351,974.214,-614
31381,1001.552,-678
31412,1347.666,-751
31443,380.059,-852
31471,758.495,-483
31502,1200.7,-884
31532,1224.995,-824
31563,1253.012,-577
31593,1241.875,-632
31624,1330.571,-465
31655,1158.959,-367
31685,1384.764,-695
31716,1198.545,-519
31746,1187.178,-464
31777,1419.846,-324
31808,676.756,-354
31836,1090.47,-387
31867,1234.696,-231
31897,1104.762,-262
31928,899.152,-265
31958,942.456,-318
31989,1027.027,-364
32020,776.251,-34
32050,1060.216,-211
32081,980.835,-226
32111,653.562,109
32142,1132.097,-416
32173,391.449,344
32202,675.292,-132
32233,958.545,-228
32263,853.638,-422
32294,646.946,-260
32324,745.074,-308
32355,941.389,-407
32386,662.152,-270
32416,1040.521,-118
32447,1005.647,-674
32477,821.411,-588
32508,1190.799,-643
32539,412.476,-818
32567,929.262,-822
32598,847.428,-502
32628,962.821,-830
32659,506.778,-825
32689,755.227,-593
32720,847.488,-774
32751,471.853,-1162
32781,1043.836,-832
32812,667.511,-917
32842,504.378,-660
32873,894.905,-905
32904,50.025,-1108
32932,721.078,-193
32963,1052.922,-424
32993,556.854,-413
33024,480.516,-265
33054,1019.658,-155
33085,803.1,-281
33116,509.296,-414
33146,974.906,-137
33177,430.046,-50
33207,287.035,-262
33238,716.295,-232
33269,123.9,-177
33297,662.021,-150
33328,1140.226,394
33358,866.2,-63
33389,575.265,459
33419,1008.871,265
33450,914.688,199
33481,780.96,621
33511,1311.706,-80
33542,948.646,10
33572,835.396,-236
33603,1291.86,240
33634,475.087,241
33663,1280.713,47
33694,1436.77,108
33724,947.473,111
33755,1021.031,6
33785,1143.609,-178
33816,1158.448,-251
33847,889.229,22
33877,1498.59,-87
33908,1312.643,-254
33938,932.294,-206
33969,1388.974,-16
34000,655.109,299
34028,1304.21,257
34059,1576.221,-436
34089,1179.019,-359
34120,862.645,-28
34150,1064.075,-321
34181,1280.485,-146
34212,783.175,-356
34242,1308.543,-216
34273,1157.533,-90
34303,798.421,-25
34334,1406.656,-413
34365,678.514,-178
34393,1183.066,95
34424,1461.195,-235
34454,1157.83,-316
34485,674.333,-291
34515,1181.63,-309
34546,1218.203,-733
34577,604.362,-1048
34607,1186.294,-847
34638,915.342,-572
34668,832.598,-751
34699,1299.86,-1246
34730,274.899,-693
34758,1121.277,-595
34789,1294.906,-673
34819,928.782,-765
34850,586.989,-880
34880,989.57,-883
34911,808.39,-812
34942,535.136,-513
34972,1118.39,-117
35003,540.451,-492
35033,673.627,-616
35064,1109.723,-241
35095,62.925,-37
35124,644.858,-418
35155,1117.634,248
35185,315.324,-121
35216,229.098,-218
35246,731.629,341
35277,500.467,88
35308,347.45,-114
35338,777.271,-96
35369,462.141,-65
35399,670.172,-311
35430,878.921,-127
35461,-24.48,14
35489,680.72,92
35520,800.212,25
35550,807.17,-107
35581,731.979,579
35611,959.414,1475
35642,839.099,-43
35673,719.066,96
35703,1063.531,175
35734,1105.91,-82
35764,1062.563,18
35795,1236.627,-618
35826,406.565,-797
35854,1277.25,-575
35885,1240.55,-1235
35915,1222.645,-635
35946,1218.089,-725
35976,1213.49,-953
36007,1310.207,-1239
36038,890.965,-805
36068,1541.57,-1183
36099,1365.981,-1181
36129,890.223,-1113
36160,1413.821,-768
36191,753.977,-1130
36219,931.146,-1521
36250,1303.482,-1464
36280,1036.966,-1749
36311,820.084,-1468
36341,1162.357,-1363
36372,1242.519,-1135
36403,697.121,-1365
36433,1374.899,-1915
36464,1169.038,-986
36494,663.257,-1296
36525,1124.703,-992
36556,520.529,-1306
36585,1179.282,-773
36616,1105.278,-713
36646,1140.813,-482
36677,575.024,-1564
36707,1192.636,-1388
