Date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,USD
197601,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
197602,100.81,100.71,100.00,100.63,101.33,100.68,100.82,101.61,100.87,100.35
197603,101.63,101.06,99.81,101.05,101.78,101.03,102.05,103.21,101.75,100.35
197604,102.44,101.41,99.81,101.47,103.56,103.42,102.87,104.59,102.62,100.70
197605,103.26,102.12,99.61,101.68,104.89,103.93,103.69,105.96,103.49,101.40
197606,104.07,102.83,99.81,101.68,105.33,104.10,104.92,107.34,104.37,102.11
197607,105.05,103.53,100.00,101.68,105.33,104.62,105.74,108.49,104.37,102.46
197608,106.03,103.53,100.39,101.89,107.11,104.10,105.74,109.63,105.24,103.16
197609,107.00,103.89,100.19,102.11,108.44,106.67,106.15,110.78,105.24,103.51
197610,108.96,104.59,100.39,102.32,110.22,107.18,106.15,111.93,106.99,103.86
197611,110.91,104.95,100.58,102.53,112.00,107.18,106.56,113.07,107.42,104.21
197612,112.87,105.30,100.78,102.95,113.33,108.55,106.97,114.22,107.86,104.56
197701,113.84,106.36,100.97,104.00,116.44,109.40,109.02,115.14,109.17,105.26
197702,114.82,107.07,100.97,104.42,117.33,110.09,109.84,116.06,110.48,106.32
197703,115.80,108.48,100.78,104.63,118.67,110.60,111.48,116.97,111.35,107.02
197704,116.61,108.83,100.97,105.05,121.78,112.48,112.30,118.81,112.66,107.72
197705,117.43,110.25,100.97,105.47,122.67,113.50,113.11,120.64,114.41,108.42
197706,118.24,110.60,101.56,105.89,124.00,112.99,113.93,122.48,116.59,109.12
197707,119.06,112.01,101.56,105.68,124.00,112.82,115.57,123.85,117.90,109.47
197708,119.87,112.01,101.56,105.68,124.89,112.99,115.57,125.23,118.34,109.82
197709,120.68,113.07,101.75,105.89,125.33,114.70,115.98,126.61,119.21,110.18
197710,121.66,114.13,101.95,105.89,125.78,115.56,116.39,128.21,120.09,110.53
197711,122.64,114.49,101.75,106.11,126.67,114.19,116.39,129.82,120.96,111.23
197712,123.62,115.19,101.95,106.32,127.11,114.02,116.80,131.42,121.83,111.58
197801,124.10,115.90,101.95,107.16,128.00,114.36,119.26,132.34,124.45,112.28
197802,124.59,116.96,102.14,107.58,128.89,115.04,119.67,133.26,125.76,112.98
197803,125.08,118.02,102.14,107.79,129.33,116.07,121.31,134.17,125.76,114.04
197804,126.06,118.37,102.34,108.21,131.56,117.26,121.31,135.32,126.64,114.74
197805,127.04,119.79,102.53,108.42,132.00,117.95,121.72,136.47,127.51,115.79
197806,128.01,120.85,102.73,108.84,133.33,117.44,122.54,137.61,127.51,117.19
197807,128.66,122.61,102.73,108.63,133.78,117.95,123.77,138.76,127.95,117.89
197808,129.32,122.97,102.73,108.42,134.67,118.12,123.77,139.91,127.95,118.60
197809,129.97,122.61,102.53,108.21,135.11,119.32,125.82,141.06,128.82,119.65
197810,130.94,124.03,102.34,108.42,135.56,119.66,125.82,142.20,129.69,120.70
197811,131.92,124.73,102.53,108.84,136.89,118.46,126.23,143.35,130.13,121.05
197812,132.90,125.09,102.73,109.05,137.78,118.29,126.23,144.50,131.00,121.75
197901,133.71,125.80,103.12,110.11,140.00,118.46,125.82,145.64,131.88,122.81
197902,134.53,127.56,104.29,110.53,140.89,118.12,126.64,146.79,132.75,124.21
197903,135.34,128.98,104.68,111.16,142.22,119.32,126.64,147.94,133.62,125.26
197904,136.48,129.68,105.07,111.58,144.44,120.68,127.46,150.23,134.06,127.02
197905,137.62,131.10,105.46,112.00,145.78,121.71,128.28,152.52,134.93,128.42
197906,138.76,131.80,106.82,112.63,148.44,121.88,128.69,154.82,135.81,129.82
197907,139.90,132.86,107.21,113.26,154.67,123.08,129.10,157.34,136.68,131.23
197908,141.04,133.22,107.02,113.47,156.00,121.71,129.51,159.86,138.43,132.63
197909,142.18,134.28,107.41,113.89,157.33,123.25,129.92,162.39,138.86,134.04
197910,143.65,135.34,107.41,114.11,159.11,124.79,131.15,164.45,140.61,135.09
197911,145.11,136.75,107.80,114.74,160.44,124.27,131.97,166.51,142.36,136.49
197912,146.58,137.46,107.99,114.95,161.78,125.13,131.97,168.58,143.67,137.89
198001,147.72,138.16,108.38,115.58,165.78,126.32,134.43,170.87,148.47,139.65
198002,148.86,139.58,108.58,117.05,168.00,127.35,136.48,173.17,150.66,141.75
198003,150.00,140.64,108.77,117.47,170.22,128.03,138.52,175.46,151.53,143.86
198004,151.30,141.70,109.36,118.11,176.00,130.43,139.75,177.75,152.40,145.61
198005,152.61,143.46,109.94,118.74,177.78,131.45,140.98,180.05,152.84,147.02
198006,153.91,144.88,110.33,119.16,179.56,131.97,143.03,182.34,153.28,148.42
198007,154.89,145.94,110.72,119.37,180.89,132.14,144.26,184.63,154.59,148.42
198008,155.86,147.70,111.50,119.37,181.33,131.79,145.49,186.93,155.46,149.82
198009,156.84,148.76,111.50,119.37,182.22,134.02,146.72,189.22,159.83,150.88
198010,157.82,149.82,111.31,119.58,183.56,134.36,148.36,191.51,162.01,152.28
198011,158.79,151.94,112.28,120.42,184.89,134.53,148.77,193.81,163.32,153.68
198012,159.77,152.65,112.67,121.26,186.22,134.19,150.00,196.10,163.76,155.09
198101,161.07,154.77,113.84,122.53,187.11,135.56,154.51,197.94,166.81,156.14
198102,162.38,156.54,115.01,123.37,188.89,135.38,155.74,199.77,170.31,157.89
198103,163.68,158.66,115.79,124.42,191.56,135.73,159.02,201.61,171.18,158.95
198104,164.98,159.72,115.59,125.05,197.33,136.92,159.84,204.36,172.05,160.00
198105,166.29,160.78,116.57,125.68,198.67,138.12,160.66,207.11,172.93,161.40
198106,167.59,163.60,117.35,126.11,199.56,138.29,162.30,209.86,173.80,162.81
198107,168.57,164.66,117.93,126.95,200.44,137.95,164.75,212.61,175.55,164.56
198108,169.54,166.08,119.69,127.16,202.22,137.26,164.75,215.37,176.86,165.96
198109,170.52,167.49,119.88,127.79,203.11,139.49,166.39,218.12,178.17,167.37
198110,172.96,169.26,119.49,128.42,204.89,139.83,166.80,220.87,179.04,167.72
198111,175.41,170.32,120.27,129.05,207.11,139.66,167.21,223.62,179.91,168.42
198112,177.85,171.02,120.27,129.47,208.44,139.83,168.03,226.38,179.04,168.77
198201,178.99,172.44,120.86,130.53,209.78,139.83,172.95,228.90,182.97,169.47
198202,180.13,174.56,121.05,130.74,209.78,139.66,174.18,231.42,185.59,169.82
198203,181.27,176.68,121.25,130.74,211.56,139.83,177.05,233.94,186.03,169.82
198204,182.74,177.74,121.83,131.16,216.00,140.85,178.28,237.84,186.90,170.53
198205,184.20,179.86,123.39,132.21,217.33,141.54,178.28,241.74,187.77,172.28
198206,185.67,181.98,124.56,133.68,217.78,141.54,179.92,245.64,188.65,174.39
198207,187.79,183.04,125.15,133.68,218.22,140.68,183.20,248.62,189.96,175.09
198208,189.90,183.75,125.93,133.68,218.22,141.71,183.20,251.61,190.39,175.44
198209,192.02,184.81,126.51,134.11,217.78,143.76,184.43,254.59,191.27,175.79
198210,193.81,185.87,126.71,134.74,219.11,144.27,185.66,256.88,193.89,176.49
198211,195.60,186.93,127.29,134.95,220.00,142.91,186.89,259.17,195.63,176.14
198212,197.39,186.93,126.71,135.37,219.56,142.74,187.70,261.47,196.07,175.44
198301,198.86,186.57,126.51,136.00,220.00,142.91,190.57,262.16,200.44,175.79
198302,200.33,187.63,126.71,136.00,220.89,142.39,191.80,262.84,200.44,175.79
198303,201.79,189.75,127.10,136.00,221.33,143.25,193.44,263.53,201.31,175.79
198304,203.26,189.75,127.49,136.21,224.44,143.76,194.26,264.22,203.06,177.19
198305,204.72,190.11,127.49,136.63,225.33,145.30,194.67,264.91,203.93,178.25
198306,206.19,191.87,128.07,137.05,225.78,144.44,195.90,265.60,205.24,178.60
198307,207.33,192.93,127.88,137.68,227.11,143.76,197.13,266.51,206.99,179.65
198308,208.47,193.99,128.07,138.11,228.00,143.42,197.13,267.43,207.86,180.00
