Date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,USD
197601,6.8000,8.9063,0.8125,3.5625,10.5625,5.3662,5.0024,7.0000,6.7842,5.0000
197602,6.9600,9.1875,1.7188,3.6875,8.9375,5.8646,5.1929,7.0000,6.9213,5.5000
197603,6.5400,9.7500,1.3125,3.1250,9.8750,6.4444,9.3163,8.5000,8.4274,5.0000
197604,7.1200,9.2500,1.0625,3.1875,10.2500,5.5000,8.3604,8.5000,9.2634,5.5000
197605,7.1300,9.6250,1.4375,3.6875,12.1250,8.0623,10.8301,8.5000,8.6644,6.2500
197606,8.0300,9.1250,0.6875,4.0625,14.7500,6.0918,8.3992,8.5000,9.3450,5.3750
197607,7.1800,9.5000,1.4375,4.3750,12.5000,6.9371,8.3314,8.5000,8.4115,5.8750
197608,7.7600,9.1250,1.1875,2.7500,12.8750,6.2917,11.7550,8.5000,12.0751,5.2500
197609,7.5000,9.0000,1.4375,4.4375,17.1250,6.8860,12.6003,8.5000,12.8107,5.5000
197610,6.9200,9.2500,1.6250,4.0000,20.3750,5.6047,13.6506,8.5000,14.5007,5.2500
197611,7.3300,9.1250,1.5625,4.6875,16.6250,7.0317,14.0503,8.5000,13.9238,4.8750
197612,5.8400,8.1250,0.8750,4.6875,16.3750,6.6417,12.1673,8.5000,13.2299,4.8750
197701,6.9400,8.2500,1.1875,4.5625,14.3750,5.9230,11.7082,8.5000,12.8974,4.8750
197702,7.1200,8.1250,2.4375,4.5000,12.5000,5.8955,7.4121,10.0000,12.5319,4.8750
197703,7.1600,7.1875,2.8125,4.4375,9.2500,7.0000,9.5715,10.0000,12.5480,5.0000
197704,6.9600,7.4375,3.2500,4.4375,8.5000,5.3347,10.6143,10.0000,12.8149,5.0000
197705,8.6000,6.8125,4.0625,3.8750,12.0000,5.6250,11.2689,10.0000,13.1761,5.6250
197706,9.3300,6.8125,3.2500,4.0000,8.0000,5.7500,12.3099,12.0000,14.1159,5.7500
197707,9.4100,7.1875,2.4375,3.9375,7.8750,6.3750,12.0059,12.0000,14.6244,6.3750
197708,9.8100,7.3125,1.6875,3.8750,6.9375,4.9062,14.8287,12.0000,22.8695,5.8750
197709,9.3600,6.9375,1.8750,3.8750,5.8125,3.7049,13.4605,12.0000,22.7436,6.8750
197710,8.7900,6.6250,1.1875,3.8125,4.6563,4.0486,8.9446,12.0000,15.2794,7.0625
197711,9.4600,7.1875,2.8750,4.1250,7.2500,4.6200,9.1531,10.0000,14.6036,6.6250
197712,8.9900,6.6875,1.3750,2.2500,6.6250,5.0140,9.7656,10.0000,14.7124,6.8750
197801,8.6500,6.9375,0.3750,3.0625,6.8125,4.7880,10.5491,10.0000,14.9101,7.1250
197802,8.3200,7.0625,0.3125,3.1875,7.1250,4.8040,20.5046,10.0000,15.9246,7.0000
197803,8.1500,7.7500,0.4375,3.3750,7.1875,4.6200,15.6582,10.0000,14.6419,7.2500
197804,7.8400,7.6875,0.6875,3.5000,10.3125,4.1410,15.5692,10.0000,11.0698,7.3750
197805,9.1000,7.8125,1.0625,3.4375,10.1875,4.0600,14.3487,10.0000,10.0680,7.5000
197806,9.0500,7.8125,1.4375,3.4375,11.0000,4.1060,12.0465,10.0000,10.7294,8.1875
197807,8.9100,8.1875,1.5625,3.4375,10.8125,4.4420,12.5292,10.0000,10.7925,8.1250
197808,9.0900,8.3125,0.5000,3.4375,11.2500,4.3940,12.1416,10.0000,9.8161,8.6250
197809,9.2700,9.1875,0.5625,3.5781,12.5625,4.2500,11.0920,10.0000,9.2695,9.5000
197810,9.7400,10.0000,0.0938,3.1875,10.6250,4.1800,11.5161,12.0000,10.2130,9.8750
197811,8.1100,10.1875,0.2500,3.5000,13.0625,3.9320,12.0882,12.0000,8.7425,11.2500
197812,8.3900,10.2500,0.0000,3.2500,12.2500,4.5670,11.9125,10.5000,9.2951,11.0000
197901,7.8500,10.7500,0.1250,3.5625,12.6875,4.2880,10.5555,13.0000,8.6377,10.2500
197902,6.8800,10.5000,0.1250,3.9375,13.2500,4.3480,10.5946,13.0000,10.0726,9.7500
197903,7.4000,11.0625,0.3125,4.8125,12.5625,4.6390,9.2686,13.0000,10.6343,10.3750
197904,7.5200,10.9375,1.3750,5.1563,12.1250,4.8750,8.9119,13.0000,9.9086,10.5625
197905,8.3500,10.9375,1.8125,5.6875,11.8125,5.0000,9.2478,13.0000,10.7200,10.3750
197906,7.7500,10.8125,0.9688,6.1875,14.3125,5.0313,10.2994,13.0000,9.9453,10.9375
197907,8.8500,11.3125,1.3750,6.2188,14.8125,5.7188,9.8608,13.0000,10.8066,11.0000
197908,8.7300,11.6875,1.9375,7.2500,14.2500,7.0938,10.4085,13.0000,12.7342,11.8125
