Date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK
197601,1.2563,0.998901,0.384305,0.755526,2.0295,0.00329305,0.180200,1.0418,0.228399
197602,1.2580,1.015435,0.389302,0.761408,2.0252,0.00331005,0.180401,1.0425,0.227998
197603,1.2461,1.015950,0.393902,0.770194,1.9159,0.00333801,0.180799,1.0180,0.226901
197604,1.2365,1.021555,0.397504,0.771196,1.8400,0.00334403,0.182502,0.9995,0.227899
197605,1.2270,1.020408,0.406405,0.754360,1.7595,0.00333300,0.180300,0.9825,0.225002
197606,1.2331,1.032205,0.405104,0.759457,1.7850,0.00335604,0.179801,0.9874,0.224800
197607,1.2405,1.025431,0.402901,0.769224,1.7850,0.00340994,0.180600,0.9970,0.224901
197608,1.2437,1.018849,0.403502,0.773728,1.7775,0.00345602,0.181600,0.9969,0.226799
197609,1.2348,1.027538,0.408998,0.803249,1.6600,0.00348602,0.187899,0.9709,0.234902
197610,1.2280,1.028595,0.410998,0.814997,1.5880,0.00339697,0.189301,0.9500,0.237400
197611,1.0099,0.965810,0.408998,0.813235,1.6510,0.00336598,0.190701,0.9013,0.238498
197612,1.0890,0.990688,0.408597,0.828671,1.7010,0.00341204,0.193600,0.9450,0.242501
197701,1.0868,0.980392,0.398995,0.812458,1.7150,0.00346705,0.187698,0.9510,0.235200
197702,1.0960,0.955566,0.391405,0.818716,1.7130,0.00353594,0.189901,0.9550,0.237197
197703,1.1028,0.945984,0.393097,0.818134,1.7200,0.00360295,0.190902,0.9600,0.237999
197704,1.1030,0.954563,0.397298,0.830854,1.7192,0.00359997,0.189401,0.9595,0.230601
197705,1.1030,0.951203,0.399249,0.829093,1.7191,0.00360646,0.189998,0.9600,0.227801
197706,1.1150,0.943485,0.405400,0.835432,1.7197,0.00373706,0.188200,0.9665,0.227102
197707,1.1218,0.935541,0.415007,0.853925,1.7365,0.00374799,0.189000,0.9740,0.228399
197708,1.1040,0.930406,0.417606,0.843758,1.7428,0.00373832,0.182999,0.9680,0.206152
197709,1.1090,0.931359,0.426003,0.847156,1.7476,0.00379204,0.181798,0.9700,0.207198
197710,1.1275,0.902283,0.447848,0.868794,1.8395,0.00401397,0.183251,0.9950,0.209000
197711,1.1260,0.902690,0.462706,0.880132,1.8170,0.00409802,0.185099,0.9945,0.208000
197712,1.1380,0.913576,0.501706,0.932324,1.9170,0.00416701,0.195000,1.0160,0.214000
197801,1.1380,0.902690,0.502993,0.926100,1.9475,0.00413907,0.194901,1.0230,0.215202
197802,1.1365,0.896861,0.549300,0.970106,1.9410,0.00419992,0.189599,1.0220,0.217998
197803,1.1416,0.883236,0.546001,0.978698,1.8620,0.00434991,0.189000,1.0200,0.218900
197804,1.1322,0.884017,0.514297,0.943114,1.8230,0.00444504,0.185099,1.0150,0.216399
197805,1.1306,0.890393,0.528989,0.935491,1.8335,0.00451794,0.184199,1.0110,0.216001
197806,1.1475,0.889126,0.540190,0.943888,1.8610,0.00490894,0.185099,1.0300,0.218651
197807,1.1574,0.883783,0.576004,0.959728,1.9310,0.00528709,0.187101,1.0515,0.221798
197808,1.1500,0.868583,0.609496,0.983571,1.9430,0.00524907,0.190949,1.0500,0.225398
197809,1.1550,0.844880,0.645161,1.008888,1.9750,0.00528569,0.194515,1.0605,0.226680
197810,1.1810,0.856825,0.666667,1.115068,2.0760,0.00557103,0.210970,1.0985,0.240964
197811,1.1345,0.853388,0.576369,1.014382,1.9440,0.00502260,0.195389,1.0460,0.224997
197812,1.1500,0.842673,0.617284,1.074632,2.0415,0.00514668,0.199800,1.0640,0.233318
197901,1.1336,0.833056,0.588235,1.044223,1.9896,0.00494560,0.194401,1.0530,0.227273
197902,1.1280,0.837731,0.597372,1.055950,2.0234,0.00493462,0.196812,1.0552,0.229410
197903,1.1183,0.861623,0.589971,1.047299,2.0625,0.00477145,0.195848,1.0550,0.228938
197904,1.1025,0.875503,0.580889,1.029981,2.0680,0.00450857,0.193461,1.0440,0.227324
197905,1.1060,0.861475,0.579710,1.024531,2.0700,0.00453823,0.192864,1.0425,0.227894
197906,1.1195,0.856164,0.604595,1.064687,2.1810,0.00459137,0.196734,1.0087,0.234192
197907,1.1290,0.854920,0.602773,1.066719,2.2475,0.00461467,0.198138,1.0150,0.237192
197908,1.1274,0.857412,0.603792,1.071805,2.2527,0.00453721,0.198689,1.0115,0.237135
197909,1.1285,0.861623,0.643501,1.123072,2.2030,0.00445434,0.205128,1.0035,0.242248
197910,1.0972,0.844238,0.602228,1.084163,2.0745,0.00420433,0.199481,0.9660,0.235045
197911,1.0942,0.854263,0.625782,1.130538,2.1990,0.00400721,0.200924,0.9765,0.239234
197912,1.1057,0.855871,0.626959,1.133158,2.2185,0.00416146,0.202963,0.9830,0.240790
198001,1.1067,0.863185,0.610501,1.121591,2.2667,0.00417833,0.205339,0.9835,0.239981
198002,1.0970,0.873362,0.587372,1.100636,2.2730,0.00397377,0.203604,0.9700,0.237361
198003,1.0818,0.839278,0.540103,1.002219,2.1600,0.00400080,0.192976,0.9405,0.223214
198004,1.1150,0.841680,0.599700,1.086572,2.2585,0.00417798,0.202675,0.9665,0.237643
198005,1.1428,0.862962,0.601685,1.099708,2.3425,0.00448430,0.205592,0.9830,0.238663
198006,1.1550,0.868659,0.613572,1.108684,2.3555,0.00454752,0.206441,0.9870,0.240385
198007,1.1515,0.860659,0.606796,1.098472,2.3425,0.00439754,0.204708,0.9748,0.239866
198008,1.1648,0.863856,0.606428,1.091423,2.3960,0.00456413,0.206441,0.9809,0.239636
198009,1.1710,0.854336,0.604778,1.078960,2.3870,0.00474271,0.205444,0.9805,0.240327
198010,1.1720,0.850847,0.583090,1.026251,2.4365,0.00473821,0.201532,0.9755,0.235183
198011,1.1640,0.840407,0.575209,1.015014,2.3575,0.00461681,0.198314,0.9575,0.231027
198012,1.1814,0.837170,0.559441,0.991046,2.3890,0.00492368,0.192957,0.9618,0.228180
198101,1.1784,0.837311,0.517598,0.917369,2.3655,0.00483793,0.182399,0.9488,0.217391
198102,1.1550,0.832432,0.509684,0.917799,2.2040,0.00476872,0.183083,0.9200,0.215517
198103,1.1669,0.842247,0.518672,0.926714,2.2325,0.00473373,0.185529,0.9155,0.216920
198104,1.1492,0.835981,0.494805,0.884791,2.1395,0.00463435,0.180473,0.8970,0.210526
198105,1.1387,0.830772,0.481742,0.839412,2.0700,0.00446628,0.174095,0.8709,0.202020
198106,1.1478,0.832917,0.487924,0.816972,1.9300,0.00440820,0.166279,0.8500,0.196541
198107,1.1352,0.810438,0.465441,0.791514,1.8400,0.00415973,0.162933,0.8275,0.191278
198108,1.1495,0.831947,0.466853,0.799113,1.8450,0.00433839,0.164528,0.8285,0.191681
198109,1.1428,0.828569,0.506329,0.841217,1.8030,0.00430478,0.168634,0.8200,0.178412
198110,1.1370,0.831255,0.544959,0.871776,1.8620,0.00429553,0.168279,0.8210,0.179727
198111,1.1518,0.849907,0.564175,0.883472,1.9550,0.00466853,0.175131,0.8365,0.183908
198112,1.1280,0.842957,0.559284,0.873919,1.9150,0.00454959,0.173461,0.8230,0.182149
198201,1.0930,0.835631,0.541712,0.844304,1.8790,0.00438020,0.169563,0.8050,0.175901
198202,1.0735,0.813670,0.526593,0.819024,1.8200,0.00421496,0.166016,0.7850,0.172488
