Date	AUD	CAD	CHF	EUR	GBP	JPY	NOK	NZD	SEK	USD
197601	100	100	100	100	100	100	100	100	100	100
197602	100.697	100.595	97.478	101.97	101.212	102.504	106.67	100.012	101.311	101.2
197603	101.394	102.209	94.957	101.853	101.515	104.087	108.009	100.025	100.592	101.219
197604	101.463	103.313	95.443	102.427	102.424	105.489	106.67	100.037	102.918	101.95
197605	101.533	104.843	95.93	103.014	104.091	105.188	108.009	100.049	103.116	102.325
197606	101.603	102.974	96.416	104.162	101.97	107.071	109.323	100.062	104.526	102.362
197607	100.82	103.313	96.706	100.352	102.273	108.013	112.001	100.074	104.836	102.887
197608	100.036	104.078	96.996	103.588	102.121	108.313	113.34	100.087	102.82	103.543
197609	99.253	103.823	97.285	104.632	103.788	108.173	112.001	100.099	100.803	103.693
197610	98.859	102.039	97.846	104.632	106.061	108.173	110.662	100.111	102.82	103.862
197611	98.466	104.163	98.408	104.749	106.97	109.736	106.67	100.124	101.706	105.399
197612	98.072	104.333	98.969	104.866	107.576	110.196	109.323	100.136	102.721	106.674
197701	98.859	105.777	99.652	105.44	109.697	111.138	109.323	99.907	99.394	106.149
197702	99.647	103.908	100.336	105.088	109.242	109.575	108.009	99.678	99.887	107.593
197703	100.435	104.673	101.02	106.249	109.394	111.138	109.323	99.45	98.787	109.037
197704	100.435	103.483	101.746	105.088	108.333	110.517	103.992	99.221	98.083	110.03
197705	100.435	105.098	102.472	104.162	111.212	110.056	98.661	98.992	97.674	110.836
197706	100.435	106.032	103.199	106.014	106.818	110.998	108.009	98.763	96.87	111.549
197707	100.435	104.928	103.436	101.5	107.273	108.794	101.339	96.987	97.279	111.905
197708	100.435	105.947	103.674	105.897	108.333	111.138	106.67	95.211	95.658	111.924
197709	100.435	105.353	103.911	106.132	108.636	111.138	108.009	93.435	96.264	112.411
197710	100.041	105.777	103.32	105.675	108.333	110.196	112.001	91	94.755	112.674
197711	99.647	106.372	102.728	105.793	107.576	112.4	113.34	88.564	93.134	112.711
197712	99.253	106.372	102.136	107.867	109.394	113.181	115.993	86.128	93.247	112.973
197801	99.253	106.032	101.994	108.219	109.394	114.851	115.993	86.534	96.165	111.661
197802	99.253	107.307	101.852	105.088	109.242	113.861	115.993	86.94	94.657	111.998
197803	99.253	107.562	101.71	102.896	108.03	116.633	117.332	87.346	94.755	114.136
197804	100.041	109.091	102.893	104.971	114.849	116.633	118.671	87.63	94.755	116.329
197805	100.829	107.307	104.076	104.866	110.909	117.029	112.001	87.914	93.346	116.892
197806	101.616	109.431	105.259	104.279	110.909	117.425	117.332	88.199	92.937	117.735
197807	102.01	108.921	103.864	107.058	112.576	118.217	117.332	88.767	93.543	117.717
197808	102.404	108.836	102.468	108.102	113.485	119.802	121.324	89.335	95.658	118.054
197809	102.798	112.234	101.073	109.837	113.333	120.792	122.663	89.904	96.87	118.317
197810	102.798	111.895	101.902	107.984	111.212	120.99	122.663	90.918	97.575	119.16
197811	102.798	112.234	102.732	108.793	111.97	121.386	124.002	91.933	98.083	120.004
197812	102.798	114.358	103.561	112.264	115.455	122.574	121.324	92.948	97.871	120.735
197901	103.586	114.698	103.376	109.263	107.424	122.376	120.01	93.658	97.067	120.116
197902	104.373	114.953	103.191	108.911	115.455	122.178	120.01	94.369	98.083	120.791
197903	105.161	115.293	103.005	109.38	116.97	123.366	121.324	95.079	98.181	121.166
197904	105.555	114.443	102.827	111.924	116.818	123.762	122.663	95.15	100.395	120.116
197905	105.949	116.992	102.649	111.689	118.636	126.534	125.341	95.221	101.41	120.941
197906	106.343	115.633	102.47	113.894	120.606	126.93	124.002	95.292	103.722	120.941
197907	107.13	116.992	103.193	114.468	119.091	127.92	126.68	95.475	101.805	120.585
197908	107.918	117.077	103.915	112.851	115	130.098	132.011	95.658	104.427	119.779
197909	108.706	117.757	104.637	113.072	114.545	127.524	137.342	95.84	105.329	119.798
197910	108.312	117.162	105.878	111.807	115	130.098	130.672	95.668	102.82	120.285
197911	107.918	116.737	107.119	114.703	116.515	131.683	136.003	95.495	103.623	120.154
197912	107.524	115.208	108.359	116.438	117.121	131.287	133.325	95.323	106.542	120.285
198001	107.524	117.502	109.682	115.747	116.364	132.277	137.342	95.587	105.329	120.96
198002	107.524	115.803	111.005	115.629	113.636	137.425	139.995	95.85	104.526	121.054
198003	107.524	117.587	112.328	114.586	113.03	133.663	134.664	96.114	105.935	120.697
198004	106.737	115.208	111.781	113.425	109.849	135.841	136.003	95.495	104.427	118.298
198005	105.949	112.404	111.234	113.307	110	134.851	136.003	94.876	80.643	115.411
198006	105.161	112.319	110.688	112.264	110.152	133.663	138.681	94.257	103.919	113.948
198007	105.949	113.679	110.298	112.851	107.727	133.465	117.332	93.932	105.442	113.236
198008	106.737	113.254	109.909	113.072	106.061	129.504	133.325	93.608	102.312	113.517
198009	107.524	115.973	109.52	109.146	104.242	131.485	130.672	93.283	100.902	115.354
