Date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,USD
197601,9.9447418,33.114445,59.778737,86.212508,6.5847135,48579.285,17.537383,1.5609594,127.4231,288.89519
197602,9.9556251,33.376687,59.381726,86.5104,6.6877495,49145.154,18.492231,1.5580274,128.65046,290.99765
197603,10.117432,33.570336,59.720218,87.262076,6.7558279,49160.064,16.436209,1.5953773,129.08304,292.42571
197604,10.19694,33.520998,60.394402,88.283719,6.8325697,49805.817,18.496325,1.6465068,130.48421,292.9557
197605,10.175532,33.673676,61.190976,89.384652,6.8880712,50230.129,17.231209,1.6229505,131.6352,295.47405
197606,10.210304,34.170298,61.750388,90.054266,7.0049254,50709.383,18.811165,1.6045605,133.0428,296.27086
197607,10.238727,33.967813,62.226157,90.105815,7.0557307,50789.279,18.479731,1.6417522,133.20077,297.27652
197608,10.315243,34.202612,62.307864,90.528253,7.1506309,51370.003,19.102335,1.6418949,133.74994,299.04532
197609,10.458052,34.497641,62.217773,91.151756,7.2213501,52116.098,18.073358,1.6746875,134.69252,299.72116
197610,10.474246,34.437037,62.442135,91.63402,7.2641942,52937.085,19.124815,1.68673,135.16792,302.32175
197611,10.555296,34.608102,62.819465,91.700869,7.2928024,52972.863,18.510999,1.620893,134.71881,303.97904
197612,10.711461,34.841782,63.830607,91.695262,7.3049136,52976.793,17.776073,1.5867367,134.13117,306.39539
197701,10.768009,35.073897,63.72363,92.116934,7.4279227,53438.025,18.21032,1.6619184,135.07256,309.05607
197702,10.960745,35.301072,63.912824,92.851952,7.455284,53499.659,18.096171,1.6839557,135.86505,311.29912
197703,10.979371,35.760167,63.215623,93.657217,7.4830856,53545.822,18.896677,1.6871479,136.61167,313.54359
197704,10.95008,36.090451,63.791019,94.327939,7.5514831,52864.142,18.678138,1.6606061,137.51733,315.09106
197705,11.028722,36.460123,63.762886,94.97791,7.5880336,53159.135,18.494165,1.6723687,137.80601,316.24243
197706,11.08414,37.067974,64.288674,95.869585,7.8454427,53901.877,18.964879,1.6903781,137.95783,318.31967
197707,11.121006,37.066985,63.777972,97.190909,7.7811522,54963.717,18.962578,1.6747689,139.60267,320.70744
197708,11.20935,37.467252,64.466315,97.919174,7.8394898,54764.367,19.130294,1.6998007,141.92548,322.08964
197709,11.273807,37.528266,64.626807,98.923394,7.9130513,54584.134,19.155307,1.6712141,142.49619,324.40316
197710,11.348013,37.852498,65.442282,100.06348,7.968795,55181.863,19.415609,1.6700687,144.68787,327.06853
197711,11.464156,38.402782,65.776246,101.16812,8.1012428,56233.29,19.245496,1.7311776,146.42626,329.4072
197712,11.424996,38.704698,64.552179,102.31552,8.3426016,57126.439,20.222978,1.751126,145.63745,331.33742
197801,11.427338,38.923889,68.773183,103.46197,8.3881758,57490.428,20.462983,1.7312029,149.42559,334.70178
197802,11.528632,39.182767,70.689692,104.82415,8.4646773,57624.011,19.988973,1.7530362,150.18019,335.30042
197803,11.682858,39.645922,73.159992,106.00456,8.6359054,57739.279,20.483701,1.7542338,152.64624,337.07227
