Date,SEK,AUD,JPY
1976-01-28 0:00,-0.22,40,-347.318
1976-01-29 0:00,-0.22,40,-347.318
1976-01-30 0:00,-0.22,40,-347.318
1976-01-31 0:00,-0.22,40,-347.318
1976-02-29 0:00,0.39,43,11.793
1976-03-31 0:00,0.03,79,205.956
1976-04-30 0:00,-0.59,174,63.584
1976-05-31 0:00,-0.21,-70,7.278
1976-06-30 0:00,0.79,107,85.03
1976-07-31 0:00,-0.46,-13,84.191
1976-08-31 0:00,0.05,-74,-22.141
1976-09-30 0:00,-0.04,39,145.702
1976-10-31 0:00,-0.36,5,122.541
1976-11-30 0:00,-0.84,-82,-46.552
1976-12-31 0:00,-1.42,-276,395.387
1977-01-31 0:00,-0.95,188,-267.744
1977-02-28 0:00,-0.43,-140,173.439
1977-03-31 0:00,-0.8,58,214.909
1977-04-30 0:00,-0.4,-44,304.037
1977-05-31 0:00,-0.36,71,-22.212
1977-06-30 0:00,0.16,-109,226.786
1977-07-31 0:00,-0.48,-109,386.544
1977-08-31 0:00,-1.51,-32,116.222
1977-09-30 0:00,-0.42,-31,283.183
1977-10-31 0:00,-0.39,-79,316.648
1977-11-30 0:00,0.37,28,254.132
1977-12-31 0:00,0.66,-1,530.347
1978-01-31 0:00,-0.07,-152,-79.688
1978-02-28 0:00,0.64,-93,395.463
1978-03-31 0:00,0.4,-142,570.42
1978-04-30 0:00,1.16,-122,355.995
1978-05-31 0:00,0.5,-161,132.898
1978-06-30 0:00,1.3,-98,524.687
1978-07-31 0:00,-0.08,-131,422.136
1978-08-31 0:00,-0.77,-204,236.403
1978-09-30 0:00,0.96,-195,398.39
1978-10-31 0:00,-0.08,-222,279.039
1978-11-30 0:00,0.75,-160,204.811
1978-12-31 0:00,0.74,-197,387.655
1979-01-31 0:00,-0.02,-10,-283.8
1979-02-28 0:00,0.13,-53,72.295
1979-03-31 0:00,0.39,-74,195.693
1979-04-30 0:00,0.58,-36,-79.789
1979-05-31 0:00,-0.45,14,-176.391
1979-06-30 0:00,0.18,-81,52.573
1979-07-31 0:00,-1.04,59,-50.994
1979-08-31 0:00,-2.5,-53,-361.329
1979-09-30 0:00,0.4,164,-164.778
1979-10-31 0:00,-1.11,207,-316.095
1979-11-30 0:00,-0.74,141,-526.659
1979-12-31 0:00,-0.57,33,-74.538
1980-01-31 0:00,-1.86,-92,-824.837
1980-02-29 0:00,-0.05,138,-336.416
1980-03-31 0:00,-0.47,57,-268.594
1980-04-30 0:00,-0.21,149,-508.328
1980-05-31 0:00,-2.16,-185,-453.591
1980-06-30 0:00,-0.89,138,-229.917
1980-07-31 0:00,-0.76,-148,-213.451
1980-08-31 0:00,-2.02,-266,-182.095
1980-09-30 0:00,-1.29,-248,191.413
1980-10-31 0:00,-0.98,-296,-65.588
1980-11-30 0:00,-0.13,-75,-49.867
1980-12-31 0:00,0.14,-273,328.418
1981-01-31 0:00,-0.78,84,-511.928
1981-02-28 0:00,-0.14,-296,61.028
1981-03-31 0:00,0.82,-463,215.627
1981-04-30 0:00,1.13,-278,94.265
1981-05-31 0:00,0.22,-136,1.128
1981-06-30 0:00,0.79,-372,327.942
1981-07-31 0:00,-0.03,-574,342.863
1981-08-31 0:00,-1.99,-304,173.952
1981-09-30 0:00,-0.34,-277,531.826
1981-10-31 0:00,-0.5,-743,485.832
1981-11-30 0:00,-0.19,-526,-38.446
1981-12-31 0:00,-0.15,-465,320.748
1982-01-31 0:00,-1,-568,-408.014
1982-02-28 0:00,0.43,-571,81.677
1982-03-31 0:00,1.12,-631,203.179
1982-04-30 0:00,1.97,-630,121.37
1982-05-31 0:00,0.1,-287,107.112
1982-06-30 0:00,0.46,-473,408.482
1982-07-31 0:00,1.5,-401,326.073
1982-08-31 0:00,-4.21,-516,-4.731
1982-09-30 0:00,-0.72,-217,412.326
1982-10-31 0:00,-1.06,-426,258.66
1982-11-30 0:00,-3.07,-292,-116.034
1982-12-31 0:00,-1.3,-250,386.097
1983-01-31 0:00,0.15,-347,-409.795
1983-02-28 0:00,0.31,-332,333.697
1983-03-31 0:00,2.37,-367,482.743
1983-04-30 0:00,1.01,-237,484.072
1983-05-31 0:00,1.91,-160,422.625
1983-06-30 0:00,3.48,-345,465.865
1983-07-31 0:00,1.06,-327,684.336
1983-08-31 0:00,-3.36,-307,407.383
1983-09-30 0:00,1.52,-146,584.765
1983-10-31 0:00,1.54,-217,480.409
1983-11-30 0:00,0.69,-95,279.775
1983-12-31 0:00,-0.55,-76,678.609
1984-01-31 0:00,2.73,-295,-196.593
1984-02-29 0:00,3.04,-352,509.743
1984-03-31 0:00,3.54,-453,726.469
1984-04-30 0:00,1.57,-184,699.54
1984-05-31 0:00,2.1,-485,425.474
1984-06-30 0:00,2.24,-377,929.484
1984-07-31 0:00,1.02,-523,760.208
1984-08-31 0:00,-0.36,-348,270.297
1984-09-30 0:00,1.58,-540,1092.873
1984-10-31 0:00,1.57,-431,886.79
1984-11-30 0:00,2.89,-446,754.616
1984-12-31 0:00,2.3,-505,1145.267
1985-01-31 0:00,0.03,-567,124.267
1985-02-28 0:00,0.52,-390,604.224
1985-03-31 0:00,0.68,10,830.066
1985-04-30 0:00,0.37,-405,827.22
1985-05-31 0:00,0.43,-390,849.23
1985-06-30 0:00,3.8,-530,1255.527
1985-07-31 0:00,1.06,-538,1126.156
1985-08-31 0:00,-0.03,-627,830.795
1985-09-30 0:00,1.51,-780,1099.808
1985-10-31 0:00,1.75,-614,974.214
1985-11-30 0:00,3.71,-678,1001.552
1985-12-31 0:00,2,-751,1347.666
1986-01-31 0:00,1.36,-852,380.059
1986-02-28 0:00,3.46,-483,758.495
1986-03-31 0:00,4.12,-884,1200.7
1986-04-30 0:00,2.47,-824,1224.995
1986-05-31 0:00,3.34,-577,1253.012
1986-06-30 0:00,5.12,-632,1241.875
1986-07-31 0:00,2.7,-465,1330.571
1986-08-31 0:00,0.36,-367,1158.959
1986-09-30 0:00,2.36,-695,1384.764
1986-10-31 0:00,2.78,-519,1198.545
1986-11-30 0:00,2.21,-464,1187.178
1986-12-31 0:00,2.22,-324,1419.846
1987-01-31 0:00,1.23,-354,676.756
1987-02-28 0:00,3.53,-387,1090.47
1987-03-31 0:00,2.19,-231,1234.696
1987-04-30 0:00,3.01,-262,1104.762
1987-05-31 0:00,3.19,-265,899.152
1987-06-30 0:00,1.81,-318,942.456
1987-07-31 0:00,2.71,-364,1027.027
1987-08-31 0:00,-2.14,-34,776.251
1987-09-30 0:00,1.96,-211,1060.216
1987-10-31 0:00,1.93,-226,980.835
1987-11-30 0:00,0.99,109,653.562
1987-12-31 0:00,3.13,-416,1132.097
1988-01-31 0:00,0.83,344,391.449
1988-02-29 0:00,0.86,-132,675.292
1988-03-31 0:00,3.49,-228,958.545
1988-04-30 0:00,3.2,-422,853.638
1988-05-31 0:00,2.06,-260,646.946
1988-06-30 0:00,4.5,-308,745.074
1988-07-31 0:00,2.89,-407,941.389
1988-08-31 0:00,-3.14,-270,662.152
1988-09-30 0:00,3.13,-118,1040.521
1988-10-31 0:00,1.82,-674,1005.647
1988-11-30 0:00,3.13,-588,821.411
1988-12-31 0:00,1.62,-643,1190.799
1989-01-31 0:00,2.19,-818,412.476
1989-02-28 0:00,2.85,-822,929.262
1989-03-31 0:00,2.61,-502,847.428
1989-04-30 0:00,1.57,-830,962.821
1989-05-31 0:00,0.71,-825,506.778
1989-06-30 0:00,4.39,-593,755.227
1989-07-31 0:00,0.73,-774,847.488
1989-08-31 0:00,-2.89,-1162,471.853
1989-09-30 0:00,3.2,-832,1043.836
1989-10-31 0:00,-0.05,-917,667.511
1989-11-30 0:00,0.47,-660,504.378
1989-12-31 0:00,0.2,-905,894.905
1990-01-31 0:00,1.51,-1108,50.025
1990-02-28 0:00,1.16,-193,721.078
1990-03-31 0:00,2.53,-424,1052.922
1990-04-30 0:00,1.38,-413,556.854
1990-05-31 0:00,1.39,-265,480.516
1990-06-30 0:00,4.56,-155,1019.658
1990-07-31 0:00,-0.08,-281,803.1
1990-08-31 0:00,-1.87,-414,509.296
1990-09-30 0:00,1.71,-137,974.906
1990-10-31 0:00,-0.02,-50,430.046
1990-11-30 0:00,3.08,-262,287.035
1990-12-31 0:00,0.64,-232,716.295
1991-01-31 0:00,1.67,-177,123.9
1991-02-28 0:00,2.87,-150,662.021
1991-03-31 0:00,3.81,394,1140.226
1991-04-30 0:00,3.77,-63,866.2
1991-05-31 0:00,1.04,459,575.265
1991-06-30 0:00,7.25,265,1008.871
1991-07-31 0:00,1.55,199,914.688
1991-08-31 0:00,-1.35,621,780.96
1991-09-30 0:00,2.59,-80,1311.706
1991-10-31 0:00,2.44,10,948.646
1991-11-30 0:00,3.56,-236,835.396
1991-12-31 0:00,2.34,240,1291.86
1992-01-31 0:00,3.67,241,475.087
1992-02-29 0:00,3.93,47,1280.713
1992-03-31 0:00,3.35,108,1436.77
1992-04-30 0:00,2.57,111,947.473
1992-05-31 0:00,2.63,6,1021.031
1992-06-30 0:00,3.72,-178,1143.609
1992-07-31 0:00,5.7,-251,1158.448
1992-08-31 0:00,-0.32,22,889.229
1992-09-30 0:00,1.02,-87,1498.59
1992-10-31 0:00,3.61,-254,1312.643
1992-11-30 0:00,2.52,-206,932.294
1992-12-31 0:00,2.71,-16,1388.974
1993-01-31 0:00,4.09,299,655.109
1993-02-28 0:00,4.14,257,1304.21
1993-03-31 0:00,3.66,-436,1576.221
1993-04-30 0:00,4.64,-359,1179.019
1993-05-31 0:00,4.15,-28,862.645
1993-06-30 0:00,4.57,-321,1064.075
1993-07-31 0:00,10.06,-146,1280.485
1993-08-31 0:00,-0.6,-356,783.175
1993-09-30 0:00,5.75,-216,1308.543
1993-10-31 0:00,3.89,-90,1157.533
1993-11-30 0:00,4.83,-25,798.421
1993-12-31 0:00,4.83,-413,1406.656
1994-01-31 0:00,7.3,-178,678.514
1994-02-28 0:00,5.94,95,1183.066
1994-03-31 0:00,7.08,-235,1461.195
1994-04-30 0:00,5.99,-316,1157.83
1994-05-31 0:00,5.02,-291,674.333
1994-06-30 0:00,7.08,-309,1181.63
1994-07-31 0:00,9.12,-733,1218.203
1994-08-31 0:00,-0.44,-1048,604.362
1994-09-30 0:00,5.33,-847,1186.294
1994-10-31 0:00,6.16,-572,915.342
1994-11-30 0:00,5.75,-751,832.598
1994-12-31 0:00,8.14,-1246,1299.86
1995-01-31 0:00,8,-693,274.899
1995-02-28 0:00,9.4,-595,1121.277
1995-03-31 0:00,10.8,-673,1294.906
1995-04-30 0:00,6.5,-765,928.782
1995-05-31 0:00,9.8,-880,586.989
